muscle_group,exercise,method,set_number,weight,reps_expected,reps_completed,date,week,day,partner
chest,bench_press,barbell,1,85,12,12,5/18,2,14,1
chest,bench_press,barbell,2,90,12,12,5/18,2,14,1
chest,bench_press,barbell,3,95,12,12,5/18,2,14,1
chest,bench_press,barbell,4,100,12,12,5/18,2,14,1
chest,incline_press_barbell,barbell,1,5,12,12,5/18,2,14,1
chest,incline_press_barbell,barbell,2,10,12,12,5/18,2,14,1
chest,incline_press_barbell,barbell,3,15,12,12,5/18,2,14,1
chest,incline_press_barbell,barbell,4,20,12,12,5/18,2,14,1
chest,pec_fly,machine,1,25,12,12,5/18,2,14,1
chest,pec_fly,machine,2,30,12,12,5/18,2,14,1
chest,pec_fly,machine,3,35,12,12,5/18,2,14,1
chest,pec_fly,machine,4,40,12,12,5/18,2,14,1
triceps,triceps_extension_machine,machine,1,25,12,12,5/18,2,14,1
triceps,triceps_extension_machine,machine,2,30,12,12,5/18,2,14,1
triceps,triceps_extension_machine,machine,3,35,12,12,5/18,2,14,1
triceps,triceps_extension_machine,machine,4,40,12,12,5/18,2,14,1
back,upper_back_extension,machine,1,60,12,12,5/20,3,16,4
back,upper_back_extension,machine,2,65,12,12,5/20,3,16,4
back,upper_back_extension,machine,3,70,12,12,5/20,3,16,4
back,upper_back_extension,machine,4,75,12,12,5/20,3,16,4
back,lower_back_extension,machine,1,60,12,12,5/20,3,16,4
back,lower_back_extension,machine,2,65,12,12,5/20,3,16,4
back,lower_back_extension,machine,3,70,12,12,5/20,3,16,4
back,lower_back_extension,machine,4,75,12,12,5/20,3,16,4
back,iso-lateral_low_row,machine,1,20,12,12,5/20,3,16,4
back,iso-lateral_low_row,machine,2,30,12,12,5/20,3,16,4
back,iso-lateral_low_row,machine,3,40,12,12,5/20,3,16,4
back,iso-lateral_low_row,machine,4,50,12,12,5/20,3,16,4
back,lat_pulldown_machine,machine,1,30,12,12,5/20,3,16,4
back,lat_pulldown_machine,machine,2,35,12,12,5/20,3,16,4
back,lat_pulldown_machine,machine,3,40,12,12,5/20,3,16,4
back,lat_pulldown_machine,machine,4,45,12,12,5/20,3,16,4
biceps,bicep_curl_nitro_machine,nitro_machine,1,25,12,12,5/20,3,16,4
biceps,bicep_curl_nitro_machine,nitro_machine,2,30,12,12,5/20,3,16,4
biceps,bicep_curl_nitro_machine,nitro_machine,3,35,12,12,5/20,3,16,4
biceps,bicep_curl_nitro_machine,nitro_machine,4,40,12,12,5/20,3,16,4
triceps,triceps_extension_dumbbell,dumbbell,1,10,12,12,5/20,3,16,4
triceps,triceps_extension_dumbbell,dumbbell,2,10,12,12,5/20,3,16,4
triceps,triceps_extension_dumbbell,dumbbell,3,10,12,12,5/20,3,16,4
triceps,triceps_extension_dumbbell,dumbbell,4,10,12,12,5/20,3,16,4
triceps,triceps_extension_nitro_machine,nitro_machine,1,30,12,12,5/20,3,16,4
triceps,triceps_extension_nitro_machine,nitro_machine,2,35,12,12,5/20,3,16,4
triceps,triceps_extension_nitro_machine,nitro_machine,3,40,12,12,5/20,3,16,4
triceps,triceps_extension_nitro_machine,nitro_machine,4,45,12,12,5/20,3,16,4
biceps,bicep_curl_machine,machine,1,20,12,12,5/21,3,17,3
biceps,bicep_curl_machine,machine,2,25,12,12,5/21,3,17,3
biceps,bicep_curl_machine,machine,3,30,12,12,5/21,3,17,3
biceps,bicep_curl_machine,machine,4,35,12,12,5/21,3,17,3
abdominals,torso_rotation,machine,1,50,12,12,5/21,3,17,3
abdominals,torso_rotation,machine,2,55,12,12,5/21,3,17,3
abdominals,torso_rotation,machine,3,60,12,12,5/21,3,17,3
abdominals,torso_rotation,machine,4,65,12,12,5/21,3,17,3
abdominals,leg_lifts,bodyweight,1,0,12,12,5/21,3,17,3
abdominals,leg_lifts,bodyweight,2,0,12,12,5/21,3,17,3
abdominals,leg_lifts,bodyweight,3,0,12,12,5/21,3,17,3
abdominals,leg_lifts,bodyweight,4,0,12,12,5/21,3,17,3
legs,squat_barbell,barbell,1,75,12,12,5/21,3,17,3
legs,squat_barbell,barbell,2,85,12,12,5/21,3,17,3
legs,squat_barbell,barbell,3,95,12,12,5/21,3,17,3
legs,squat_barbell,barbell,4,105,12,12,5/21,3,17,3
legs,seated_hamstring_curl,machine,1,30,12,12,5/21,3,17,3
legs,seated_hamstring_curl,machine,2,35,12,12,5/21,3,17,3
legs,seated_hamstring_curl,machine,3,40,12,12,5/21,3,17,3
legs,seated_hamstring_curl,machine,4,45,12,12,5/21,3,17,3
legs,seated_calf_raise,machine,1,10,12,12,5/21,3,17,3
legs,seated_calf_raise,machine,2,15,12,12,5/21,3,17,3
legs,seated_calf_raise,machine,3,20,12,12,5/21,3,17,3
legs,seated_calf_raise,machine,4,25,12,12,5/21,3,17,3
legs,hip_adduction,machine,1,55,12,12,5/21,3,17,3
legs,hip_adduction,machine,2,60,12,12,5/21,3,17,3
legs,hip_adduction,machine,3,65,12,12,5/21,3,17,3
legs,hip_adduction,machine,4,70,12,12,5/21,3,17,3
chest,incline_press_machine,machine,1,30,12,12,5/23,3,19,1
chest,incline_press_machine,machine,2,60,12,12,5/23,3,19,1
chest,incline_press_machine,machine,3,90,12,12,5/23,3,19,1
chest,incline_press_machine,machine,4,120,12,12,5/23,3,19,1
chest,pec_fly,machine,1,30,12,12,5/23,3,19,1
chest,pec_fly,machine,2,42.5,12,12,5/23,3,19,1
chest,pec_fly,machine,3,52.5,12,12,5/23,3,19,1
chest,pec_fly,machine,4,60,12,8,5/23,3,19,1
chest,decline_press,machine,1,20,12,12,5/23,3,19,1
chest,decline_press,machine,2,30,12,12,5/23,3,19,1
chest,decline_press,machine,3,30,12,12,5/23,3,19,1
chest,decline_press,machine,4,40,12,10,5/23,3,19,1
chest,chest_press,machine,1,30,12,12,5/23,3,19,1
shoulders,lat_raise_machine,machine,1,30,12,12,5/23,3,19,1
chest,chest_press,machine,2,37.5,12,12,5/23,3,19,1
shoulders,lat_raise_machine,machine,2,35,12,12,5/23,3,19,1
chest,chest_press,machine,3,40,12,12,5/23,3,19,1
shoulders,lat_raise_machine,machine,3,40,12,12,5/23,3,19,1
chest,chest_press,machine,4,47.5,12,12,5/23,3,19,1
shoulders,lat_raise_machine,machine,4,45,12,8,5/23,3,19,1
chest,assist_dip,machine,1,0,6,6,5/23,3,19,1
abdominals,leg_lifts,bodyweight,1,0,12,12,5/23,3,19,1
chest,assist_dip,machine,2,0,7,6,5/23,3,19,1
abdominals,leg_lifts,bodyweight,2,0,12,12,5/23,3,19,1
chest,assist_dip,machine,3,0,6,6,5/23,3,19,1
abdominals,leg_lifts,bodyweight,3,0,12,12,5/23,3,19,1
chest,assist_dip,machine,4,0,6,5,5/23,3,19,1
abdominals,leg_lifts,bodyweight,4,0,12,12,5/23,3,19,1
triceps,triceps_extension_machine,machine,1,35,12,12,5/23,3,19,1
triceps,triceps_extension_machine,machine,2,40,12,12,5/23,3,19,1
triceps,triceps_extension_machine,machine,3,45,12,12,5/23,3,19,1
triceps,triceps_extension_machine,machine,4,50,12,12,5/23,3,19,1
back,lat_pulldown_nitro,nitro_machine,1,65,12,12,5/24,3,20,0
back,lat_pulldown_nitro,nitro_machine,2,60,12,12,5/24,3,20,0
back,lat_pulldown_nitro,nitro_machine,3,55,12,12,5/24,3,20,0
back,lat_pulldown_nitro,nitro_machine,4,50,12,12,5/24,3,20,0
back,row,machine,1,40,12,12,5/24,3,20,0
back,row,machine,2,45,12,12,5/24,3,20,0
back,row,machine,3,50,12,12,5/24,3,20,0
back,row,machine,4,55,12,12,5/24,3,20,0
abdominals,torso_rotation,machine,1,45,12,12,5/24,3,20,0
abdominals,torso_rotation,machine,2,50,12,12,5/24,3,20,0
abdominals,torso_rotation,machine,3,55,12,12,5/24,3,20,0
abdominals,torso_rotation,machine,4,60,12,12,5/24,3,20,0
back,lower_back_extension,machine,1,65,12,12,5/24,3,20,0
back,lower_back_extension,machine,2,70,12,12,5/24,3,20,0
back,lower_back_extension,machine,3,75,12,12,5/24,3,20,0
back,lower_back_extension,machine,4,80,12,12,5/24,3,20,0
back,pull_ups,bodyweight,1,0,6,6,5/24,3,20,0
back,pull_ups,bodyweight,2,0,4,5,5/24,3,20,0
back,pull_ups,bodyweight,3,0,4,4,5/24,3,20,0
back,pull_ups,bodyweight,4,0,3,3,5/24,3,20,0
shoulders,front_raise_cable,cable,1,4,12,12,5/29,4,25,2
shoulders,front_raise_cable,cable,2,5.5,12,12,5/29,4,25,2
shoulders,front_raise_cable,cable,3,7.5,12,12,5/29,4,25,2
shoulders,front_raise_cable,cable,4,9,12,9,5/29,4,25,2
shoulders,front_raise_dumbbell,dumbbell,1,12.5,12,12,5/29,4,25,2
shoulders,front_raise_dumbbell,dumbbell,2,12.5,12,12,5/29,4,25,2
shoulders,front_raise_dumbbell,dumbbell,3,12.5,12,12,5/29,4,25,2
shoulders,front_raise_dumbbell,dumbbell,4,12.5,12,12,5/29,4,25,2
shoulders,snow_angels,dumbbell,1,5,12,12,5/29,4,25,2
shoulders,snow_angels,dumbbell,2,5,12,12,5/29,4,25,2
shoulders,snow_angels,dumbbell,3,5,12,12,5/29,4,25,2
shoulders,snow_angels,dumbbell,4,5,12,12,5/29,4,25,2
shoulders,overhead_press_dumbbell,dumbbell,1,12.5,12,12,5/29,4,25,2
shoulders,overhead_press_dumbbell,dumbbell,2,12.5,12,12,5/29,4,25,2
shoulders,overhead_press_dumbbell,dumbbell,3,12.5,12,12,5/29,4,25,2
shoulders,overhead_press_dumbbell,dumbbell,4,12.5,12,12,5/29,4,25,2
biceps,preacher_curl,machine,1,25,12,12,5/29,4,25,2
biceps,preacher_curl,machine,2,30,12,12,5/29,4,25,2
biceps,preacher_curl,machine,3,35,12,12,5/29,4,25,2
biceps,preacher_curl,machine,4,40,12,12,5/29,4,25,2
abdominals,abdominal_crunch,machine,1,40,12,12,5/29,4,25,2
abdominals,abdominal_crunch,machine,2,50,12,12,5/29,4,25,2
abdominals,abdominal_crunch,machine,3,60,12,12,5/29,4,25,2
abdominals,abdominal_crunch,machine,4,70,12,9,5/29,4,25,2
legs,squat_barbell,barbell,1,75,12,12,5/30,4,26,1
legs,squat_barbell,barbell,2,85,12,12,5/30,4,26,1
legs,squat_barbell,barbell,3,95,12,12,5/30,4,26,1
legs,squat_barbell,barbell,4,105,12,12,5/30,4,26,1
legs,leg_press,machine,1,208,12,12,5/30,4,26,1
legs,calf_extension_leg_press_machine,machine,1,208,12,12,5/30,4,26,1
legs,leg_press,machine,2,298,12,8,5/30,4,26,1
legs,calf_extension_leg_press_machine,machine,2,298,12,8,5/30,4,26,1
legs,leg_press,machine,3,388,6,3,5/30,4,26,1
legs,calf_extension_leg_press_machine,machine,3,388,6,0,5/30,4,26,1
legs,leg_press,machine,4,298,6,8,5/30,4,26,1
legs,calf_extension_leg_press_machine,machine,4,298,6,8,5/30,4,26,1
legs,hip_adduction,machine,1,70,12,12,5/30,4,26,1
legs,hip_adduction,machine,2,85,12,12,5/30,4,26,1
legs,hip_adduction,machine,3,115,12,12,5/30,4,26,1
legs,hip_adduction,machine,4,130,12,7,5/30,4,26,1
legs,seated_hamstring_curl,machine,1,35,12,12,5/30,4,26,1
legs,seated_hamstring_curl,machine,2,45,12,12,5/30,4,26,1
legs,seated_hamstring_curl,machine,3,50,12,12,5/30,4,26,1
legs,seated_hamstring_curl,machine,4,55,12,10,5/30,4,26,1
biceps,preacher_curl,machine,1,35,12,12,5/30,4,26,1
biceps,preacher_curl,machine,2,40,12,12,5/30,4,26,1
biceps,preacher_curl,machine,3,45,12,10,5/30,4,26,1
biceps,preacher_curl,machine,4,50,8,8,5/30,4,26,1
chest,bench_press,barbell,1,90,12,12,5/31,4,27,0
chest,bench_press,barbell,2,95,12,12,5/31,4,27,0
chest,bench_press,barbell,3,100,8,8,5/31,4,27,0
chest,bench_press,barbell,4,105,6,7,5/31,4,27,0
chest,incline_press_barbell,barbell,1,55,12,12,5/31,4,27,0
chest,incline_press_barbell,barbell,2,60,12,12,5/31,4,27,0
chest,incline_press_barbell,barbell,3,65,12,12,5/31,4,27,0
chest,incline_press_barbell,barbell,4,70,12,10,5/31,4,27,0
chest,pec_fly,machine,1,35,12,12,5/31,4,27,0
chest,pec_fly,machine,2,40,12,12,5/31,4,27,0
chest,pec_fly,machine,3,45,12,12,5/31,4,27,0
chest,pec_fly,machine,4,50,12,8,5/31,4,27,0
back,deadlift,barbell,1,95,12,12,6/1,4,28,2
back,deadlift,barbell,2,105,12,12,6/1,4,28,2
back,deadlift,barbell,3,115,12,12,6/1,4,28,2
back,deadlift,barbell,4,125,12,12,6/1,4,28,2
back,lat_pulldown_machine,machine,1,50,12,12,6/1,4,28,2
back,lat_pulldown_machine,machine,2,55,12,12,6/1,4,28,2
back,lat_pulldown_machine,machine,3,60,12,12,6/1,4,28,2
back,lat_pulldown_machine,machine,4,65,12,12,6/1,4,28,2
back,lower_back_extension,machine,1,70,12,12,6/1,4,28,2
back,lower_back_extension,machine,2,75,12,12,6/1,4,28,2
back,lower_back_extension,machine,3,80,12,12,6/1,4,28,2
back,lower_back_extension,machine,4,85,12,12,6/1,4,28,2
back,row,machine,1,45,12,12,6/1,4,28,2
back,row,machine,2,50,12,12,6/1,4,28,2
back,row,machine,3,55,12,12,6/1,4,28,2
back,row,machine,4,60,12,12,6/1,4,28,2
legs,seated_calf_raise,machine,1,20,12,12,6/3,5,30,3
legs,seated_calf_raise,machine,2,25,12,12,6/3,5,30,3
legs,seated_calf_raise,machine,3,30,12,12,6/3,5,30,3
legs,seated_calf_raise,machine,4,35,12,12,6/3,5,30,3
legs,seated_hamstring_curl,machine,1,40,12,12,6/3,5,30,3
legs,seated_hamstring_curl,machine,2,42.5,12,12,6/3,5,30,3
legs,seated_hamstring_curl,machine,3,55,12,12,6/3,5,30,3
legs,seated_hamstring_curl,machine,4,57.5,12,12,6/3,5,30,3
legs,hack_squat,machine,1,80,12,12,6/3,5,30,3
legs,hack_squat,machine,2,110,12,12,6/3,5,30,3
legs,hack_squat,machine,3,130,12,12,6/3,5,30,3
legs,hack_squat,machine,4,150,12,12,6/3,5,30,3
chest,bench_press,barbell,1,95,12,12,6/4,5,31,3
chest,bench_press,barbell,2,100,12,12,6/4,5,31,3
chest,bench_press,barbell,3,105,12,10,6/4,5,31,3
chest,bench_press,barbell,4,110,8,6,6/4,5,31,3
chest,incline_press_barbell,barbell,1,55,12,12,6/4,5,31,3
chest,incline_press_barbell,barbell,2,60,12,12,6/4,5,31,3
chest,incline_press_barbell,barbell,3,65,12,12,6/4,5,31,3
chest,incline_press_barbell,barbell,4,70,12,10,6/4,5,31,3
chest,incline_press_barbell,barbell,1,60,12,12,6/6,5,33,3
chest,incline_press_barbell,barbell,2,65,12,12,6/6,5,33,3
chest,incline_press_barbell,barbell,3,70,12,12,6/6,5,33,3
chest,incline_press_barbell,barbell,4,75,12,12,6/6,5,33,3
legs,squat_barbell,barbell,1,75,12,12,6/6,5,33,3
legs,squat_barbell,barbell,2,85,12,12,6/6,5,33,3
legs,squat_barbell,barbell,3,95,12,12,6/6,5,33,3
legs,squat_barbell,barbell,4,105,12,12,6/6,5,33,3
back,deadlift,barbell,1,105,12,12,6/6,5,33,3
back,deadlift,barbell,2,115,12,12,6/6,5,33,3
back,deadlift,barbell,3,125,12,12,6/6,5,33,3
back,deadlift,barbell,4,135,12,9,6/6,5,33,3
legs,squat_barbell,barbell,1,80,12,12,6/10,6,37,0
legs,squat_barbell,barbell,2,90,12,12,6/10,6,37,0
legs,squat_barbell,barbell,3,100,12,12,6/10,6,37,0
legs,squat_barbell,barbell,4,110,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,1,20,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,2,25,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,3,30,12,12,6/10,6,37,0
legs,seated_calf_raise,machine,4,35,12,12,6/10,6,37,0
legs,hip_abduction,machine,1,70,12,12,6/10,6,37,0
legs,hip_abduction,machine,2,70,12,12,6/10,6,37,0
legs,hip_abduction,machine,3,70,12,12,6/10,6,37,0
legs,hip_abduction,machine,4,70,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,1,40,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,2,42.5,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,3,42.5,12,12,6/10,6,37,0
legs,lying_leg_curl,machine,4,42.5,12,12,6/10,6,37,0
back,lower_back_extension,machine,1,75,12,12,6/11,6,38,3
back,lower_back_extension,machine,2,80,12,12,6/11,6,38,3
back,lower_back_extension,machine,3,85,12,12,6/11,6,38,3
back,lower_back_extension,machine,4,90,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,1,35,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,2,40,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,3,45,12,12,6/11,6,38,3
triceps,triceps_extension_machine,machine,4,50,12,12,6/11,6,38,3
back,MTS_high_row,machine,1,35,12,12,6/11,6,38,3
back,MTS_high_row,machine,2,40,12,12,6/11,6,38,3
back,MTS_high_row,machine,3,45,12,12,6/11,6,38,3
back,MTS_high_row,machine,4,50,8,6,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,1,50,12,12,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,2,55,12,12,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,3,60,12,12,6/11,6,38,3
back,lat_pulldown_nitro,nitro_machine,4,65,12,12,6/11,6,38,3
chest,bench_press,barbell,1,100,12,12,6/12,6,39,0
chest,bench_press,barbell,2,105,10,10,6/12,6,39,0
chest,bench_press,barbell,3,110,8,7,6/12,6,39,0
chest,bench_press,barbell,4,115,6,5,6/12,6,39,0
chest,incline_press_barbell,barbell,1,60,12,12,6/12,6,39,0
chest,incline_press_barbell,barbell,2,65,12,11,6/12,6,39,0
chest,incline_press_barbell,barbell,3,70,10,8,6/12,6,39,0
chest,incline_press_barbell,barbell,4,75,6,6,6/12,6,39,0
chest,incline_fly,dumbbell,1,10,12,12,6/12,6,39,0
chest,incline_fly,dumbbell,2,10,12,12,6/12,6,39,0
chest,incline_fly,dumbbell,3,10,12,12,6/12,6,39,0
chest,incline_fly,dumbbell,4,10,12,12,6/12,6,39,0